# Shai-Hulud 2.0 Affected Packages List
# Source: https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack
# Format: package_name|malicious_versions (comma-separated)
# Total: 700+ packages
# Last updated: 2025-11-25

# High prevalence packages (13-27% of environments)
@postman/tunnel-agent|0.6.4
posthog-node|4.3.1,4.3.2
posthog-js|1.194.0,1.194.1
@asyncapi/specs|6.8.1
@asyncapi/openapi-schema-parser|3.0.26
get-them-args|1.3.3,1.3.2
shell-exec|1.1.4,1.1.3
kill-port|2.0.2,2.0.1

# Zapier ecosystem
zapier-platform-cli|18.0.4,18.0.3,18.0.2
zapier-platform-core|18.0.4,18.0.3,18.0.2
zapier-platform-schema|18.0.4,18.0.3,18.0.2
zapier-scripts|7.8.4,7.8.3
zapier-async-storage|1.0.3,1.0.2,1.0.1

# ENS/Ethereum ecosystem
@ensdomains/ens-contracts|1.2.3,1.2.2,1.2.1
@ensdomains/ensjs|4.0.3,4.0.2
@ensdomains/thorin|0.6.52,0.6.51
@ensdomains/headless-web3-provider|1.0.9
@ensdomains/content-hash|3.1.1,3.1.2
@ensdomains/eth-ens-namehash|2.0.16
@ensdomains/ens-validation|0.1.1
@ensdomains/dnsprovejs|0.5.2,0.5.1
@ensdomains/buffer|0.1.2,0.1.1
@ensdomains/address-encoder|1.1.2,1.1.1
uniswap-router-sdk|1.6.2
uniswap-smart-order-router|3.16.26
uniswap-test-sdk-core|4.0.8

# AccordProject
@accordproject/concerto-analysis|3.24.1
@accordproject/concerto-linter|3.24.1
@accordproject/concerto-linter-default-ruleset|3.24.1
@accordproject/concerto-metamodel|3.12.5
@accordproject/concerto-types|3.24.1

# AsyncAPI ecosystem
@asyncapi/avro-schema-parser|3.0.26
@asyncapi/converter|1.6.3,1.6.2
@asyncapi/diff|0.4.2
@asyncapi/dotnet-nats-template|0.14.1
@asyncapi/generator|2.5.1,2.5.2
@asyncapi/generator-react-sdk|1.1.3,1.1.2
@asyncapi/glee|0.0.1
@asyncapi/html-template|2.3.14,2.3.13
@asyncapi/java-spring-cloud-stream-template|0.15.1
@asyncapi/java-spring-template|1.6.1
@asyncapi/java-template|0.3.1
@asyncapi/markdown-template|1.7.1
@asyncapi/modelina|4.0.2,4.0.1
@asyncapi/nodejs-template|3.0.5,3.0.4
@asyncapi/nodejs-ws-template|0.10.13
@asyncapi/parser|3.4.1,3.4.2
@asyncapi/protobuf-schema-parser|3.3.1
@asyncapi/python-paho-template|0.2.15
@asyncapi/raml-dt-schema-parser|4.0.26
@asyncapi/react-component|2.0.1
@asyncapi/server-api|1.1.1
@asyncapi/studio|0.0.1
@asyncapi/ts-nats-template|0.0.1

# React Native packages
react-native-modest-checkbox|3.3.1
react-native-modest-storage|2.1.1
react-native-phone-call|1.2.2,1.2.1
react-native-retriable-fetch|2.0.1,2.0.2
react-native-use-modal|1.0.3
react-native-view-finder|1.2.2,1.2.1
react-native-websocket|1.0.4,1.0.3
react-native-worklet-functions|3.3.3

# Svelte packages
svelte-autocomplete-select|1.1.1
svelte-toasty|1.1.3,1.1.2

# Additional affected packages (alphabetical)
02-echo|0.0.7
@anthropic-ai/sdk|0.37.0
@anthropic-ai/tokenizer|0.0.5
